,filename,width,height,class,xmin,ymin,xmax,ymax
0,00008.jpg,800,800,airplane,20,121,153,261
1,00008.jpg,800,800,airplane,172,144,276,244
2,00008.jpg,800,800,airplane,373,8,430,72
3,00008.jpg,800,800,airplane,26,464,127,561
4,00008.jpg,800,800,airplane,147,457,255,555
5,00008.jpg,800,800,airplane,385,465,492,555
6,00008.jpg,800,800,airplane,200,647,304,739
7,00008.jpg,800,800,vehicle,404,425,473,448
8,00008.jpg,800,800,vehicle,18,674,49,706
9,00008.jpg,800,800,vehicle,416,760,449,795
10,00008.jpg,800,800,vehicle,179,783,203,800
11,00015.jpg,800,800,airplane,363,117,563,298
12,00015.jpg,800,800,airplane,355,343,583,553
13,00015.jpg,800,800,vehicle,338,210,354,243
