,filename,width,height,class,xmin,ymin,xmax,ymax
0,00002.jpg,800,800,vehicle,49,231,67,242
1,00002.jpg,800,800,vehicle,54,252,72,262
2,00002.jpg,800,800,vehicle,297,227,316,239
3,00005.jpg,800,800,vehicle,188,245,201,265
4,00005.jpg,800,800,vehicle,1,679,32,695
5,00006.jpg,800,800,ship,281,185,360,289
6,00006.jpg,800,800,ship,498,565,557,665
7,00007.jpg,800,800,ship,162,69,180,137
8,00007.jpg,800,800,ship,241,167,251,189
9,00007.jpg,800,800,ship,332,639,349,691
10,00007.jpg,800,800,ship,336,698,370,709
11,00007.jpg,800,800,ship,329,722,385,737
12,00007.jpg,800,800,ship,332,585,346,625
13,00007.jpg,800,800,ship,348,578,356,599
14,00007.jpg,800,800,ship,333,512,352,535
15,00007.jpg,800,800,ship,332,544,352,567
16,00007.jpg,800,800,ship,296,433,316,504
17,00007.jpg,800,800,ship,334,396,347,439
18,00007.jpg,800,800,ship,336,272,353,331
19,00007.jpg,800,800,ship,335,213,351,264
20,00007.jpg,800,800,ship,293,148,311,223
21,00007.jpg,800,800,ship,337,137,358,200
22,00007.jpg,800,800,ship,450,84,483,94
23,00007.jpg,800,800,ship,508,84,540,93
24,00007.jpg,800,800,ship,501,99,542,111
25,00007.jpg,800,800,ship,453,99,484,107
26,00007.jpg,800,800,ship,448,119,486,128
27,00007.jpg,800,800,ship,507,117,546,129
28,00007.jpg,800,800,ship,445,137,490,152
29,00007.jpg,800,800,ship,515,139,539,147
30,00007.jpg,800,800,ship,452,159,489,171
31,00007.jpg,800,800,ship,510,160,543,171
32,00007.jpg,800,800,ship,445,179,487,193
33,00007.jpg,800,800,ship,509,177,546,189
34,00007.jpg,800,800,ship,430,199,492,218
35,00007.jpg,800,800,ship,507,202,546,215
36,00007.jpg,800,800,ship,429,221,489,242
37,00007.jpg,800,800,ship,452,249,490,259
38,00007.jpg,800,800,ship,508,264,546,275
39,00007.jpg,800,800,ship,445,266,493,279
40,00007.jpg,800,800,ship,442,309,492,324
41,00007.jpg,800,800,ship,512,290,544,301
42,00007.jpg,800,800,ship,507,309,539,320
43,00007.jpg,800,800,ship,451,354,493,366
44,00007.jpg,800,800,ship,508,352,546,363
45,00007.jpg,800,800,ship,440,376,493,389
46,00007.jpg,800,800,ship,443,397,495,413
47,00007.jpg,800,800,ship,436,419,495,436
48,00007.jpg,800,800,ship,440,440,496,458
49,00007.jpg,800,800,ship,514,400,539,410
50,00007.jpg,800,800,ship,523,471,546,480
51,00007.jpg,800,800,ship,511,487,545,499
52,00007.jpg,800,800,ship,516,506,543,519
53,00007.jpg,800,800,ship,509,528,551,540
54,00007.jpg,800,800,ship,520,554,541,563
55,00007.jpg,800,800,ship,511,570,550,581
56,00007.jpg,800,800,ship,510,594,550,608
57,00007.jpg,800,800,ship,455,463,491,477
58,00007.jpg,800,800,ship,439,484,497,504
59,00007.jpg,800,800,ship,455,510,492,521
60,00007.jpg,800,800,ship,456,530,492,543
61,00007.jpg,800,800,ship,444,548,494,564
62,00007.jpg,800,800,ship,453,571,493,584
63,00007.jpg,800,800,ship,453,594,496,608
64,00007.jpg,800,800,ship,441,634,496,654
65,00007.jpg,800,800,ship,513,635,550,650
66,00007.jpg,800,800,ship,443,657,467,666
67,00007.jpg,800,800,ship,447,669,501,687
68,00007.jpg,800,800,ship,513,669,549,680
69,00007.jpg,800,800,ship,530,655,552,662
70,00007.jpg,800,800,ship,602,665,670,680
71,00007.jpg,800,800,ship,599,613,627,624
72,00007.jpg,800,800,ship,603,600,625,608
73,00007.jpg,800,800,ship,644,615,672,625
