,Score,Features
0,0.9880952380952381,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
1,0.9871428571428571,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'thal', 'target']"
2,0.9857142857142858,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'target']"
3,0.9828571428571429,"['cp', 'thalach', 'ca', 'thal', 'target']"
4,0.9827586206896551,"['sex', 'cp', 'trestbps', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
5,0.9771428571428572,"['cp', 'chol', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
6,0.9757834757834758,"['cp', 'thalach', 'oldpeak', 'thal', 'target']"
7,0.9757142857142858,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'target']"
8,0.9757142857142858,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
9,0.9753623188405797,"['sex', 'cp', 'trestbps', 'chol', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
10,0.9753623188405797,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
11,0.9746376811594203,"['sex', 'cp', 'fbs', 'slope', 'thal', 'target']"
12,0.9742857142857143,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'thal', 'target']"
13,0.9742857142857143,"['sex', 'cp', 'trestbps', 'fbs', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
14,0.9739130434782609,"['sex', 'cp', 'trestbps', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
15,0.9729344729344729,"['cp', 'thalach', 'oldpeak', 'slope', 'thal', 'target']"
16,0.9728571428571429,"['sex', 'cp', 'trestbps', 'fbs', 'restecg', 'exang', 'slope', 'ca', 'thal', 'target']"
17,0.9728571428571429,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
18,0.9717261904761905,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'slope', 'ca', 'target']"
19,0.9717261904761905,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'slope', 'thal', 'target']"
20,0.9715099715099716,"['sex', 'cp', 'trestbps', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
21,0.9714285714285715,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'thal', 'target']"
22,0.9714285714285714,"['cp', 'chol', 'restecg', 'exang', 'oldpeak', 'ca', 'target']"
23,0.9714285714285714,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
24,0.9714285714285714,"['cp', 'thalach', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
25,0.9714285714285714,"['age', 'sex', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
26,0.9710144927536232,"['cp', 'chol', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
27,0.9702380952380952,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'thal', 'target']"
28,0.97,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
29,0.97,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'thal', 'target']"
30,0.9698275862068966,"['sex', 'cp', 'trestbps', 'oldpeak', 'slope', 'ca', 'target']"
31,0.9698275862068966,"['sex', 'cp', 'trestbps', 'oldpeak', 'slope', 'thal', 'target']"
32,0.9695652173913044,"['sex', 'cp', 'trestbps', 'slope', 'ca', 'thal', 'target']"
33,0.9685714285714285,"['age', 'sex', 'chol', 'thalach', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
34,0.9683908045977012,"['sex', 'cp', 'trestbps', 'fbs', 'restecg', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
35,0.9683908045977011,"['age', 'sex', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
36,0.9683908045977011,"['age', 'sex', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
37,0.9681159420289855,"['cp', 'chol', 'exang', 'oldpeak', 'ca', 'target']"
38,0.9681159420289855,"['cp', 'chol', 'fbs', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
39,0.9681159420289854,"['cp', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
40,0.967741935483871,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'ca', 'thal', 'target']"
41,0.9671428571428572,"['sex', 'cp', 'trestbps', 'fbs', 'oldpeak', 'slope', 'ca', 'target']"
42,0.9671428571428572,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
43,0.9671428571428571,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'ca', 'target']"
44,0.9671428571428571,"['cp', 'thalach', 'oldpeak', 'ca', 'thal', 'target']"
45,0.9671428571428571,"['cp', 'chol', 'restecg', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
46,0.9671428571428571,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
47,0.9671428571428571,"['cp', 'chol', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
