,Score,Features
0,0.9914285714285714,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'target']"
1,0.99,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'thal', 'target']"
2,0.9871428571428572,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
3,0.9871428571428571,"['cp', 'chol', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
4,0.9857142857142858,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'target']"
5,0.9857142857142858,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
6,0.9851190476190477,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
7,0.9828571428571429,"['cp', 'thalach', 'ca', 'thal', 'target']"
8,0.9828571428571429,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
9,0.9827586206896551,"['sex', 'cp', 'trestbps', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
10,0.98,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
11,0.9785714285714286,"['cp', 'chol', 'restecg', 'exang', 'oldpeak', 'ca', 'target']"
12,0.9785714285714285,"['age', 'sex', 'chol', 'thalach', 'exang', 'oldpeak', 'ca', 'thal', 'target']"
13,0.9782608695652174,"['sex', 'cp', 'trestbps', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
14,0.9771428571428571,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'ca', 'target']"
15,0.9757834757834758,"['cp', 'thalach', 'oldpeak', 'thal', 'target']"
16,0.9753623188405797,"['cp', 'chol', 'exang', 'oldpeak', 'slope', 'ca', 'target']"
17,0.9750733137829912,"['sex', 'cp', 'trestbps', 'restecg', 'oldpeak', 'ca', 'thal', 'target']"
18,0.9746376811594203,"['sex', 'cp', 'fbs', 'slope', 'thal', 'target']"
19,0.9742857142857143,"['cp', 'chol', 'fbs', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
20,0.9741379310344828,"['age', 'sex', 'chol', 'fbs', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
21,0.9739130434782609,"['sex', 'cp', 'trestbps', 'chol', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
22,0.9739130434782609,"['sex', 'cp', 'trestbps', 'chol', 'fbs', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
23,0.9728571428571429,"['sex', 'cp', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'thal', 'target']"
24,0.9728571428571429,"['sex', 'cp', 'trestbps', 'fbs', 'restecg', 'exang', 'slope', 'ca', 'thal', 'target']"
25,0.9728571428571429,"['age', 'sex', 'chol', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
26,0.9728571428571429,"['cp', 'chol', 'restecg', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
27,0.972463768115942,"['cp', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'target']"
28,0.972463768115942,"['sex', 'cp', 'trestbps', 'chol', 'oldpeak', 'ca', 'thal', 'target']"
